"property","value";
"standardversion","https://data.gov.ru/metodicheskie-rekomendacii-po-publikacii-otkrytyh-dannyh-versiya-30";
"identifier","7719028495-MoscowEducationalInstitutions";
"title","Образовательные учреждения города Москвы";
"description","Набор данных содержит информацию об образовательных организациях города Москвы: адреса, контактные телефоны, местоположение на карте, адреса интернет-сайтов учреждений, а также информацию о доступности зданий для лиц с ограниченными возможностями. В соответствии с Федеральным Законом от 29.12.2012 № 273-ФЗ «Об образовании в Российской Федерации» (Закон) изменилась классификация образовательных организаций. Ранее образовательные организации классифицировались по «типам» и «видам» в зависимости от возраста обучающихся, в настоящее время согласно п.2 ст.10 Закона образование подразделяется на общее, профессиональное, дополнительное и профессиональное обучение, обеспечивающие возможность реализации права на образование в течение всей жизни (непрерывное образование). Современные московские образовательные организации, как правило, реализуют несколько уровней общего образования (п.4 ст.10 Закона) – дошкольное, начальное общее, основное общее, среднее общее. Они также могут предлагать среднее и высшее профессиональное образование (п.5 ст.10 Закона) и четкой привязки образовательных организаций к прежней классификации (Детский сад → Средняя школа → Учреждение среднего профессионального образования → Высшее учебное заведение) уже нет. У больших школ появились новые возможности - образовательные организации получили ресурс для повышения доступности реализуемых ими образовательных программ для московских семей. В зависимости от предпочтений семей школа предлагает дополнительное образование: организует работу кружков, секций, курсов различной направленности для детей и взрослых в любом из своих зданий. Именно поэтому местом предоставления той или иной образовательной услуги должны считаться все здания, входящие в состав образовательной организации. Места оказания услуг общего и профессионального образования, а также – место работы конкретного кружка вы можете уточнить у администрации или на официальном сайте образовательной организации.";
"creator","Департамент образования и науки города Москвы";
"created","2016-01-25";
"modified","";
"subject","образование, образования, школа, школы, детский сад, СОШ, колледж, колледжи, техникум, ДОНМ, Департамент образования, сведения";
"format","CSV";
"provenance","Выпуск релиза";
"valid","2025-06-23";
"publishername","Копичников Денис Николаевич";
"publisherphone","(495) 957-75-00";
"publishermbox","KopichnikovDN@mos.ru";
"data-20160720T0000-structure-20160720T0000","http://data.mos.ru/odata/catalog/export?idFile=239887";
"data-20240830T1527-structure-20240830T1527","http://data.mos.ru/odata/catalog/export?idFile=239191";
"structure-dynamicdata","http://data.mos.ru/odata/catalog/export?idFile=239916";
